Name,Date of birth
Charlie Chaplin,1889-04-16
Buster Keaton,1895-10-04
Marlon Brando,1924-04-03
Audrey Hepburn,1929-05-04
Marilyn Monroe,1926-06-01
Humphrey Bogart,1899-12-25
Katharine Hepburn,1907-05-12
James Dean,1931-02-08
Meryl Streep,1949-06-22
Robert De Niro,1943-08-17
Al Pacino,1940-04-25
Denzel Washington,1954-12-28
Tom Hanks,1956-07-09
Leonardo DiCaprio,1974-11-11
Kate Winslet,1975-10-05
Natalie Portman,1981-06-09
Scarlett Johansson,1984-11-22
Morgan Freeman,1937-06-01
Cate Blanchett,1969-05-14
Anthony Hopkins,1937-12-31
Johnny Depp,1963-06-09
Brad Pitt,1963-12-18
Angelina Jolie,1975-06-04
Keanu Reeves,1964-09-02
Viola Davis,1965-08-11
