Name,Date of birth
Leonardo DiCaprio,1974-11-11
Brad Pitt,1963-12-18
Angelina Jolie,1975-06-04
Tom Hanks,1956-07-09
Meryl Streep,1949-06-22
Robert De Niro,1943-08-17
Al Pacino,1940-04-25
Denzel Washington,1954-12-28
Morgan Freeman,1937-06-01
Julia Roberts,1967-10-28
Cate Blanchett,1969-05-14
Kate Winslet,1975-10-05
Natalie Portman,1981-06-09
Scarlett Johansson,1984-11-22
Jennifer Lawrence,1990-08-15
Emma Stone,1988-11-06
Ryan Gosling,1980-11-12
Ryan Reynolds,1976-10-23
Hugh Jackman,1968-10-12
Chris Hemsworth,1983-08-11
Chris Evans,1981-06-13
Tom Cruise,1962-07-03
Keanu Reeves,1964-09-02
Matt Damon,1970-10-08
Ben Affleck,1972-08-15
Christian Bale,1974-01-30
Joaquin Phoenix,1974-10-28
Heath Ledger,1979-04-04
Anne Hathaway,1982-11-12
Halle Berry,1966-08-14
Nicole Kidman,1967-06-20
Charlize Theron,1975-08-07
Sandra Bullock,1964-07-26
George Clooney,1961-05-06
Anthony Hopkins,1937-12-31
Ian McKellen,1939-05-25
Patrick Stewart,1940-07-13
Daniel Day-Lewis,1957-04-29
Liam Neeson,1952-06-07
Ralph Fiennes,1962-12-22
Gary Oldman,1958-03-21
Colin Firth,1960-09-10
Eddie Redmayne,1982-01-06
Michael Fassbender,1977-04-02
Tom Hardy,1977-09-15
Cillian Murphy,1976-05-25
Benedict Cumberbatch,1976-07-19
Martin Freeman,1971-09-08
Andrew Garfield,1983-08-20
Adam Driver,1983-11-19
Robert Downey Jr.,1965-04-04
Chris Pratt,1979-06-21
Mark Ruffalo,1967-11-22
Jeremy Renner,1971-01-07
Paul Rudd,1969-04-06
Samuel L. Jackson,1948-12-21
Laurence Fishburne,1961-07-30
Viggo Mortensen,1958-10-20
Orlando Bloom,1977-01-13
Elijah Wood,1981-01-28
Daniel Radcliffe,1989-07-23
Emma Watson,1990-04-15
Rupert Grint,1988-08-24
Alan Rickman,1946-02-21
Maggie Smith,1934-12-28
Judi Dench,1934-12-09
Helen Mirren,1945-07-26
Keira Knightley,1985-03-26
Emily Blunt,1983-02-23
John Krasinski,1979-10-20
Amy Adams,1974-08-20
Jessica Chastain,1977-03-24
Viola Davis,1965-08-11
Octavia Spencer,1970-05-25
Lupita Nyong'o,1983-03-01
Salma Hayek,1966-09-02
Penélope Cruz,1974-04-28
Javier Bardem,1969-03-01
Antonio Banderas,1960-08-10
Gael García Bernal,1978-11-30
Diego Luna,1979-12-29
Dev Patel,1990-04-23
Irrfan Khan,1967-01-07
Aamir Khan,1965-03-14
Shah Rukh Khan,1965-11-02
Priyanka Chopra,1982-07-18
Deepika Padukone,1986-01-05
Ranveer Singh,1985-07-06
Zhang Ziyi,1979-02-09
Gong Li,1965-12-31
Tony Leung Chiu-wai,1962-06-27
Donnie Yen,1963-07-27
Jackie Chan,1954-04-07
Jet Li,1963-04-26
Chow Yun-fat,1955-05-18
Tilda Swinton,1960-11-05
Frances McDormand,1957-06-23
Saoirse Ronan,1994-04-12
Timothée Chalamet,1995-12-27
Zendaya,1996-09-01
