Name,Date of birth
Leonardo da Vinci,1452-04-15
Michelangelo,1475-03-06
Raphael,1483-04-06
Sandro Botticelli,1445-03-01
Caravaggio,1571-09-29
Rembrandt,1606-07-15
Johannes Vermeer,1632-10-31
Francisco Goya,1746-03-30
Édouard Manet,1832-01-23
Claude Monet,1840-11-14
Edgar Degas,1834-07-19
Pierre-Auguste Renoir,1841-02-25
Paul Cézanne,1839-01-19
Vincent van Gogh,1853-03-30
Paul Gauguin,1848-06-07
Henri Matisse,1869-12-31
Pablo Picasso,1881-10-25
Salvador Dalí,1904-05-11
Frida Kahlo,1907-07-06
Georgia O'Keeffe,1887-11-15
Jackson Pollock,1912-01-28
Andy Warhol,1928-08-06
Marc Chagall,1887-07-07
Gustav Klimt,1862-07-14
Wassily Kandinsky,1866-12-16
