Name,Date of birth
Leonardo da Vinci,1452-04-15
Michelangelo,1475-03-06
Raphael,1483-04-06
Caravaggio,1571-09-29
Rembrandt,1606-07-15
Johannes Vermeer,1632-10-31
Peter Paul Rubens,1577-06-28
Diego Velázquez,1599-06-06
Francisco Goya,1746-03-30
J. M. W. Turner,1775-04-23
John Constable,1776-06-11
Eugène Delacroix,1798-04-26
Gustave Courbet,1819-06-10
Édouard Manet,1832-01-23
Claude Monet,1840-11-14
Pierre-Auguste Renoir,1841-02-25
Edgar Degas,1834-07-19
Paul Cézanne,1839-01-19
Vincent van Gogh,1853-03-30
Paul Gauguin,1848-06-07
Henri de Toulouse-Lautrec,1864-11-24
Edvard Munch,1863-12-12
Gustav Klimt,1862-07-14
Egon Schiele,1890-06-12
Pablo Picasso,1881-10-25
Georges Braque,1882-05-13
Henri Matisse,1869-12-31
Marcel Duchamp,1887-07-28
Wassily Kandinsky,1866-12-16
Kazimir Malevich,1879-02-23
Paul Klee,1879-12-18
Piet Mondrian,1872-03-07
Joan Miró,1893-04-20
Salvador Dalí,1904-05-11
René Magritte,1898-11-21
Jackson Pollock,1912-01-28
Mark Rothko,1903-09-25
Willem de Kooning,1904-04-24
Andy Warhol,1928-08-06
Roy Lichtenstein,1923-10-27
Robert Rauschenberg,1925-10-22
Jasper Johns,1930-05-15
David Hockney,1937-07-09
Francis Bacon,1909-10-28
Alberto Giacometti,1901-10-10
Constantin Brâncuși,1876-02-19
Auguste Rodin,1840-11-12
Gian Lorenzo Bernini,1598-12-07
Artemisia Gentileschi,1593-07-08
Frida Kahlo,1907-07-06
Diego Rivera,1886-12-08
Georgia O’Keeffe,1887-11-15
Mary Cassatt,1844-05-22
Berthe Morisot,1841-01-14
Tamara de Lempicka,1898-05-16
Lee Krasner,1908-10-27
Yayoi Kusama,1929-03-22
Louise Bourgeois,1911-12-25
Marina Abramović,1946-11-30
Cindy Sherman,1954-01-19
Barbara Kruger,1945-01-26
Tracey Emin,1963-07-03
Damien Hirst,1965-06-07
Ai Weiwei,1957-08-28
Anselm Kiefer,1945-03-08
Gerhard Richter,1932-02-09
Anish Kapoor,1954-03-12
Olafur Eliasson,1967-02-05
Ansel Adams,1902-02-20
Henri Cartier-Bresson,1908-08-22
Diane Arbus,1923-03-14
Robert Mapplethorpe,1946-11-04
Georges Seurat,1859-12-02
Paul Signac,1863-11-11
Amedeo Modigliani,1884-07-12
Marc Chagall,1887-07-07
Pierre Bonnard,1867-10-03
Camille Pissarro,1830-07-10
Alfred Sisley,1839-10-30
Edward Hopper,1882-07-22
Grant Wood,1891-02-13
Norman Rockwell,1894-02-03
Albrecht Dürer,1471-05-21
Oskar Kokoschka,1886-03-01
Max Ernst,1891-04-02
Emil Nolde,1867-08-07
Otto Dix,1891-12-02
George Grosz,1893-07-26
Käthe Kollwitz,1867-07-08
Giorgio de Chirico,1888-07-10
Umberto Boccioni,1882-10-19
Jean-Michel Basquiat,1960-12-22
Keith Haring,1958-05-04
Jeff Koons,1955-01-21
Takashi Murakami,1962-02-01
Kara Walker,1969-11-26
Kehinde Wiley,1977-02-28
Jenny Holzer,1950-07-29
Shepard Fairey,1970-02-15
Hilma af Klint,1862-10-26
