Name,Date of birth
Ludwig van Beethoven,1770-12-17
Wolfgang Amadeus Mozart,1756-01-27
Johann Sebastian Bach,1685-03-31
Pyotr Ilyich Tchaikovsky,1840-05-07
Frédéric Chopin,1810-03-01
Giuseppe Verdi,1813-10-10
Richard Wagner,1813-05-22
Elvis Presley,1935-01-08
John Lennon,1940-10-09
Paul McCartney,1942-06-18
George Harrison,1943-02-25
Ringo Starr,1940-07-07
Michael Jackson,1958-08-29
Madonna,1958-08-16
Whitney Houston,1963-08-09
Beyoncé,1981-09-04
Taylor Swift,1989-12-13
Bob Dylan,1941-05-24
Aretha Franklin,1942-03-25
Prince,1958-06-07
David Bowie,1947-01-08
Rihanna,1988-02-20
Billie Eilish,2001-12-18
Ed Sheeran,1991-02-17
Ennio Morricone,1928-11-10
