Name,Date of birth
Ludwig van Beethoven,1770-12-17
Wolfgang Amadeus Mozart,1756-01-27
Johann Sebastian Bach,1685-03-31
Frédéric Chopin,1810-03-01
Franz Liszt,1811-10-22
Joseph Haydn,1732-03-31
George Frideric Handel,1685-02-23
Antonio Vivaldi,1678-03-04
Pyotr Ilyich Tchaikovsky,1840-05-07
Sergei Rachmaninoff,1873-04-01
Franz Schubert,1797-01-31
Robert Schumann,1810-06-08
Johannes Brahms,1833-05-07
Richard Wagner,1813-05-22
Giuseppe Verdi,1813-10-10
Giacomo Puccini,1858-12-22
Claude Debussy,1862-08-22
Maurice Ravel,1875-03-07
Igor Stravinsky,1882-06-17
Sergei Prokofiev,1891-04-23
Dmitri Shostakovich,1906-09-25
Gustav Mahler,1860-07-07
Elvis Presley,1935-01-08
Frank Sinatra,1915-12-12
Aretha Franklin,1942-03-25
Whitney Houston,1963-08-09
Mariah Carey,1969-03-27
Céline Dion,1968-03-30
Beyoncé,1981-09-04
Taylor Swift,1989-12-13
Adele,1988-05-05
Rihanna,1988-02-20
Ed Sheeran,1991-02-17
Kanye West,1977-06-08
Jay-Z,1969-12-04
Lady Gaga,1986-03-28
Katy Perry,1984-10-25
Ariana Grande,1993-06-26
Bruno Mars,1985-10-08
Justin Bieber,1994-03-01
Selena Gomez,1992-07-22
Elton John,1947-03-25
Paul McCartney,1942-06-18
John Lennon,1940-10-09
George Harrison,1943-02-25
Ringo Starr,1940-07-07
Freddie Mercury,1946-09-05
David Bowie,1947-01-08
Mick Jagger,1943-07-26
Keith Richards,1943-12-18
Kurt Cobain,1967-02-20
Dave Grohl,1969-01-14
Jimi Hendrix,1942-11-27
Janis Joplin,1943-01-19
Jim Morrison,1943-12-08
Bob Dylan,1941-05-24
Johnny Cash,1932-02-26
Prince,1958-06-07
Michael Jackson,1958-08-29
Madonna,1958-08-16
Shakira,1977-02-02
Bad Bunny,1994-03-10
The Weeknd,1990-02-16
Post Malone,1995-07-04
Kendrick Lamar,1987-06-17
Eminem,1972-10-17
Snoop Dogg,1971-10-20
Dr. Dre,1965-02-18
Tupac Shakur,1971-06-16
The Notorious B.I.G.,1972-05-21
Nicki Minaj,1982-12-08
Cardi B,1992-10-11
Doja Cat,1995-10-21
Olivia Rodrigo,2003-02-20
Harry Styles,1994-02-01
Zayn Malik,1993-01-12
Liam Payne,1993-08-29
Niall Horan,1993-09-13
Louis Tomlinson,1991-12-24
Justin Timberlake,1981-01-31
Britney Spears,1981-12-02
Christina Aguilera,1980-12-18
Usher,1978-10-14
Alicia Keys,1981-01-25
John Legend,1978-12-28
Sam Smith,1992-05-19
George Michael,1963-06-25
Phil Collins,1951-01-30
Peter Gabriel,1950-02-13
Sting,1951-10-02
Bono,1960-05-10
Adam Clayton,1960-03-13
The Edge (David Evans),1961-08-08
Larry Mullen Jr.,1961-10-31
Björk,1965-11-21
Thom Yorke,1968-10-07
Jonny Greenwood,1971-11-05
Chris Martin,1977-03-02
Guy Berryman,1978-04-12
Will Champion,1978-07-31
