Name,Date of birth
Albert Einstein,1879-03-14
Isaac Newton,1643-01-04
Marie Curie,1867-11-07
Nikola Tesla,1856-07-10
Galileo Galilei,1564-02-15
Charles Darwin,1809-02-12
Stephen Hawking,1942-01-08
Ada Lovelace,1815-12-10
Alan Turing,1912-06-23
Rosalind Franklin,1920-07-25
Niels Bohr,1885-10-07
Max Planck,1858-04-23
Richard Feynman,1918-05-11
Katherine Johnson,1918-08-26
James Clerk Maxwell,1831-06-13
Dmitri Mendeleev,1834-02-08
Louis Pasteur,1822-12-27
Michael Faraday,1791-09-22
Johannes Kepler,1571-12-27
Gregor Mendel,1822-07-20
Carl Sagan,1934-11-09
Jane Goodall,1934-04-03
Tim Berners-Lee,1955-06-08
Grace Hopper,1906-12-09
Chien-Shiung Wu,1912-05-31
