Name,Date of birth
Isaac Newton,1643-01-04
Albert Einstein,1879-03-14
Marie Curie,1867-11-07
Charles Darwin,1809-02-12
Galileo Galilei,1564-02-15
Nikola Tesla,1856-07-10
Thomas Edison,1847-02-11
Michael Faraday,1791-09-22
James Clerk Maxwell,1831-06-13
Niels Bohr,1885-10-07
Richard Feynman,1918-05-11
Stephen Hawking,1942-01-08
Rosalind Franklin,1920-07-25
Dmitri Mendeleev,1834-02-08
Gregor Mendel,1822-07-20
Ada Lovelace,1815-12-10
Alan Turing,1912-06-23
Max Planck,1858-04-23
Werner Heisenberg,1901-12-05
Erwin Schrödinger,1887-08-12
Enrico Fermi,1901-09-29
J. Robert Oppenheimer,1904-04-22
Lise Meitner,1878-11-07
Emmy Noether,1882-03-23
Henri Poincaré,1854-04-29
Carl Sagan,1934-11-09
Edwin Hubble,1889-11-20
Johannes Kepler,1571-12-27
Blaise Pascal,1623-06-19
Antoine Lavoisier,1743-08-26
Robert Hooke,1635-07-18
Robert Boyle,1627-01-25
Christiaan Huygens,1629-04-14
Leonhard Euler,1707-04-15
Carl Friedrich Gauss,1777-04-30
René Descartes,1596-03-31
Francis Crick,1916-06-08
James Watson,1928-04-06
Linus Pauling,1901-02-28
Barbara McClintock,1902-06-16
Jane Goodall,1934-04-03
Tim Berners-Lee,1955-06-08
John von Neumann,1903-12-28
Claude Shannon,1916-04-30
Grace Hopper,1906-12-09
Hedy Lamarr,1914-11-09
Katherine Johnson,1918-08-26
Chien-Shiung Wu,1912-05-31
Satyendra Nath Bose,1894-01-01
C. V. Raman,1888-11-07
Srinivasa Ramanujan,1887-12-22
Gottfried Wilhelm Leibniz,1646-07-01
Augustin-Louis Cauchy,1789-08-21
Pierre-Simon Laplace,1749-03-23
Joseph Fourier,1768-03-21
André-Marie Ampère,1775-01-20
Alessandro Volta,1745-02-18
Georg Ohm,1789-03-16
Hermann von Helmholtz,1821-08-31
Louis Pasteur,1822-12-27
Alexander Fleming,1881-08-06
Paul Dirac,1902-08-08
Wolfgang Pauli,1900-04-25
Murray Gell-Mann,1929-09-15
Abdus Salam,1926-01-29
Subrahmanyan Chandrasekhar,1910-10-19
Freeman Dyson,1923-12-15
Andre Geim,1958-10-21
Konstantin Novoselov,1974-08-23
Peter Higgs,1929-05-29
Hannes Alfvén,1908-05-30
Rita Levi-Montalcini,1909-04-22
Tu Youyou,1930-12-30
Yuan T. Lee,1936-11-19
Ahmed Zewail,1946-02-26
Emmanuelle Charpentier,1968-12-11
Jennifer Doudna,1964-02-19
Kary Mullis,1944-12-28
Harold Kroto,1939-10-07
Frances Arnold,1956-07-25
May-Britt Moser,1963-01-04
Edvard Moser,1962-04-27
Brian Schmidt,1967-02-24
Saul Perlmutter,1959-09-22
Adam Riess,1969-12-16
Vera Rubin,1928-07-23
Henrietta Swan Leavitt,1868-07-04
Annie Jump Cannon,1863-12-11
Caroline Herschel,1750-03-16
William Herschel,1738-11-15
Mary Somerville,1780-12-26
Florence Nightingale,1820-05-12
Rachel Carson,1907-05-27
Hans Bethe,1906-07-02
Lev Landau,1908-01-22
Andrei Sakharov,1921-05-21
Nikolay Basov,1922-12-14
Charles K. Kao,1933-11-04
Hideki Yukawa,1907-01-23
Yoichiro Nambu,1921-01-18
