Name,Date of birth
Pelé,1940-10-23
Diego Maradona,1960-10-30
Lionel Messi,1987-06-24
Cristiano Ronaldo,1985-02-05
Michael Jordan,1963-02-17
LeBron James,1984-12-30
Kobe Bryant,1978-08-23
Serena Williams,1981-09-26
Venus Williams,1980-06-17
Roger Federer,1981-08-08
Rafael Nadal,1986-06-03
Novak Djokovic,1987-05-22
Usain Bolt,1986-08-21
Muhammad Ali,1942-01-17
Mike Tyson,1966-06-30
Tiger Woods,1975-12-30
Tom Brady,1977-08-03
Simone Biles,1997-03-14
Nadia Comăneci,1961-11-12
Michael Phelps,1985-06-30
Ayrton Senna,1960-03-21
Lewis Hamilton,1985-01-07
Wayne Gretzky,1961-01-26
Babe Ruth,1895-02-06
Jackie Robinson,1919-01-31
