Name,Date of birth
Michael Jordan,1963-02-17
Lionel Messi,1987-06-24
Cristiano Ronaldo,1985-02-05
Serena Williams,1981-09-26
Roger Federer,1981-08-08
Rafael Nadal,1986-06-03
Novak Djokovic,1987-05-22
Tiger Woods,1975-12-30
LeBron James,1984-12-30
Kobe Bryant,1978-08-23
Michael Phelps,1985-06-30
Usain Bolt,1986-08-21
Simone Biles,1997-03-14
Tom Brady,1977-08-03
Peyton Manning,1976-03-24
Diego Maradona,1960-10-30
Pele,1940-10-23
Neymar,1992-02-05
Kylian Mbappe,1998-12-20
Zinedine Zidane,1972-06-23
Ronaldinho,1980-03-21
David Beckham,1975-05-02
Wayne Gretzky,1961-01-26
Sidney Crosby,1987-08-07
Alex Ovechkin,1985-09-17
Michael Schumacher,1969-01-03
Lewis Hamilton,1985-01-07
Ayrton Senna,1960-03-21
Valentino Rossi,1979-02-16
Mike Tyson,1966-06-30
Muhammad Ali,1942-01-17
Floyd Mayweather Jr.,1977-02-24
Manny Pacquiao,1978-12-17
Conor McGregor,1988-07-14
Ronda Rousey,1987-02-01
Jon Jones,1987-07-19
Georges St-Pierre,1981-05-19
Anderson Silva,1975-04-14
Kareem Abdul-Jabbar,1947-04-16
Shaquille O'Neal,1972-03-06
Stephen Curry,1988-03-14
Kevin Durant,1988-09-29
Giannis Antetokounmpo,1994-12-06
Dirk Nowitzki,1978-06-19
Tim Duncan,1976-04-25
Larry Bird,1956-12-07
Magic Johnson,1959-08-14
Bill Russell,1934-02-12
Wilt Chamberlain,1936-08-21
Oscar Robertson,1938-11-24
Babe Ruth,1895-02-06
Jackie Robinson,1919-01-31
Hank Aaron,1934-02-05
Derek Jeter,1974-06-26
Shohei Ohtani,1994-07-05
Ichiro Suzuki,1973-10-22
Mike Trout,1991-08-07
Joe Montana,1956-06-11
Jerry Rice,1962-10-13
Barry Sanders,1968-07-16
Lawrence Taylor,1959-02-04
Aaron Rodgers,1983-12-02
Patrick Mahomes,1995-09-17
Pete Sampras,1971-08-12
Andre Agassi,1970-04-29
Steffi Graf,1969-06-14
Martina Navratilova,1956-10-18
Chris Evert,1954-12-21
Naomi Osaka,1997-10-16
Iga Swiatek,2001-05-31
Jack Nicklaus,1940-01-21
Phil Mickelson,1970-06-16
Lance Armstrong,1971-09-18
Tadej Pogacar,1998-09-21
Carl Lewis,1961-07-01
Jesse Owens,1913-09-12
Haile Gebrselassie,1973-04-18
Mo Farah,1983-03-23
Eliud Kipchoge,1984-11-05
Yelena Isinbaeva,1982-06-03
Allyson Felix,1985-11-18
Hicham El Guerrouj,1974-09-14
Katie Ledecky,1997-03-17
Mark Spitz,1950-02-10
Ian Thorpe,1982-10-13
Nadia Comaneci,1961-11-12
Larisa Latynina,1934-12-27
Mikaela Shiffrin,1995-03-13
Lindsey Vonn,1984-10-18
Marcel Hirscher,1989-03-02
Yuzuru Hanyu,1994-12-07
Nathan Chen,1999-05-05
Kim Yuna,1990-09-05
Sachin Tendulkar,1973-04-24
Virat Kohli,1988-11-05
MS Dhoni,1981-07-07
Brian Lara,1969-05-02
Ben Stokes,1991-06-04
Jonah Lomu,1975-05-12
Richie McCaw,1980-12-31
